program,total,parsed,coverage,agreement,n,pearson,spearman,mae
baseline,60,60,1.0,0.7611111111111111,60,0.5518314545627534,0.5478475856990007,0.47777777777777775
optimized,60,60,1.0,0.7888888888888891,60,0.6328116381188503,0.6198930390556152,0.422222222222222
