program,total,parsed,coverage,agreement,n,pearson,spearman,kendall_tau,mae
baseline,60,60,1.0,0.7416666666666667,60,0.658217763896482,0.6582034782118851,0.5553089426210346,0.5166666666666667
optimized,60,60,1.0,0.7416666666666667,60,0.658217763896482,0.6582034782118851,0.5553089426210346,0.5166666666666667
