program,total,parsed,coverage,agreement,n,pearson,spearman,kendall_tau,mae
baseline,60,60,1.0,0.7527777777777779,60,0.6811579340256497,0.6770757902646776,0.5711502062183231,0.49444444444444446
optimized,60,60,1.0,0.7527777777777779,60,0.6811579340256497,0.6770757902646776,0.5711502062183231,0.49444444444444446
