program,total,parsed,coverage,agreement,n,pearson,spearman,mae
baseline,60,60,1.0,0.7694444444444446,60,0.723364434615753,0.7215589340941447,0.46111111111111114
optimized,60,60,1.0,0.6916666666666665,60,0.5111436706356804,0.4908149626970947,0.6166666666666666
