program,total,parsed,coverage,agreement,n,pearson,spearman,kendall_tau,mae
baseline,12,12,1.0,0.7222222222222222,12,0.6031355196718399,0.5908789478687515,0.5315876880491779,0.5555555555555556
optimized,12,12,1.0,0.7638888888888888,12,0.6749794663663768,0.6746930620432885,0.606407314553894,0.47222222222222227
